corpus,branch,source_mode,smoother,param,dataset,session_id,n_frames,ccc,mae,rmse,pearson
noxi,metadata_head,best_single,causal_mean,12,noxi,007,108642,0.9095475652828511,0.05659859366937231,0.07341317340784198,0.9125892378634024
noxi,metadata_head,best_single,causal_mean,12,noxi,009,45214,0.5821371558820307,0.0663974787130708,0.08444763850308687,0.5958416657014276
noxi,metadata_head,best_single,causal_mean,12,noxi,011,72010,0.8627655432961692,0.056619118865729165,0.07949578550015379,0.8653491145433018
noxi,metadata_head,best_single,causal_mean,12,noxi,014,53448,0.7296985637811123,0.06943691510692027,0.08407845111396531,0.7794008578132084
noxi,metadata_head,best_single,causal_mean,12,noxi,058,75506,0.6617969839226144,0.056219204211149544,0.07431429618836853,0.6665464378139434
noxi,metadata_head,best_single,causal_mean,12,noxi,062,67788,0.5153064890246815,0.09192264810429857,0.1144927919625459,0.6301352565759047
noxi,metadata_head,best_single,causal_mean,12,noxi,063,31992,0.7798403848867156,0.0886649670995805,0.11485038316365774,0.8192505513927361
noxi,metadata_head,best_single,causal_mean,12,noxi,074,47716,0.7944116527248892,0.05389479383530584,0.06968914336925894,0.8039795490894937
noxi,metadata_head,best_single,causal_mean,12,noxi,075,49752,0.8589910928348566,0.05186102711164118,0.07065531571386713,0.8767891740855202
noxi,metadata_head,best_single,causal_mean,12,noxi,076,25068,0.7300499870827195,0.06158962218983366,0.08143426859747092,0.7798515170655371
noxi,metadata_head,best_single,causal_mean,25,noxi,007,108642,0.9071978624275768,0.05724934143914966,0.07428839480823214,0.9103604731467455
noxi,metadata_head,best_single,causal_mean,25,noxi,009,45214,0.5819831175761715,0.06629113350478114,0.08417609922217667,0.595169418234828
noxi,metadata_head,best_single,causal_mean,25,noxi,011,72010,0.8546203284351879,0.058325637434312114,0.0816736096051087,0.8574281327963319
noxi,metadata_head,best_single,causal_mean,25,noxi,014,53448,0.7163886908533813,0.07091448319167659,0.0858847440357567,0.7647075209072276
noxi,metadata_head,best_single,causal_mean,25,noxi,058,75506,0.6662705009440574,0.055632352558983224,0.07362566916019517,0.6711112701242103
noxi,metadata_head,best_single,causal_mean,25,noxi,062,67788,0.5158512753633461,0.09166868808975089,0.11405219026491412,0.629563591014805
noxi,metadata_head,best_single,causal_mean,25,noxi,063,31992,0.7795799195903479,0.08854137847481257,0.11478073803233567,0.8193024938566061
noxi,metadata_head,best_single,causal_mean,25,noxi,074,47716,0.7913606162942882,0.05417833278877555,0.07008210135265988,0.8008118938462562
noxi,metadata_head,best_single,causal_mean,25,noxi,075,49752,0.8564170195613422,0.051961945837742364,0.0712307419710863,0.8738749771943507
noxi,metadata_head,best_single,causal_mean,25,noxi,076,25068,0.7156502942079906,0.06333412706269875,0.08332873253243327,0.7637220626016548
noxi,metadata_head,best_single,causal_mean,50,noxi,007,108642,0.9017351084286328,0.05859384437957976,0.07628752861149683,0.9051618394139324
noxi,metadata_head,best_single,causal_mean,50,noxi,009,45214,0.5787372746923413,0.06639570645153386,0.08392141202338266,0.5908812958704482
