bias2,train_kappa,train_accuracy,train_class2_precision,train_class2_recall,train_class2_f1,train_class2_predicted,train_class2_tp,train_class2_fp,train_class2_fn,val_kappa,val_accuracy,val_class2_precision,val_class2_recall,val_class2_f1,val_class2_predicted,val_class2_tp,val_class2_fp,val_class2_fn
1.7,0.7922576412122632,0.9012633316239005,0.7899962577532187,0.9675745784695201,0.8698144966160535,125593,99218,26375,3325,0.27970992999038735,0.48921653657126335,0.8837628401513786,0.4151710125296309,0.5649444156442601,5549,4904,645,6908
1.75,0.7862005037553962,0.8980796213909924,0.7810674152885576,0.968627795168856,0.8647947411954203,127167,99326,27841,3217,0.2848421100899035,0.49777392309916163,0.8818925030440077,0.42922451743989165,0.5774158647001879,5749,5070,679,6742
1.8,0.779450855401848,0.8945132411627962,0.7713040308382003,0.9697882839394205,0.8592325703966751,128931,99445,29486,3098,0.2909891400287251,0.5068516912402429,0.8808481992595086,0.44310870301388416,0.5896136082009688,5942,5234,708,6578
1.85,0.7725946008692713,0.8908687650171941,0.7616555734067784,0.9708707566581825,0.8536310358280496,130710,99556,31154,2987,0.29857276485672457,0.5177797051170858,0.8803045027534824,0.46012529630883847,0.6043589458467697,6174,5435,739,6377
1.9,0.7652868751183668,0.8869717787386469,0.7515496568886207,0.971914221351043,0.8476438744136795,132610,99663,32947,2880,0.3055009966473287,0.5285342584562012,0.877004515024132,0.47688791059939045,0.617822868110776,6423,5633,790,6179
1.95,0.7568679664701776,0.8824552315153471,0.7403081215863215,0.9728406619661996,0.8407931056280159,134752,99758,34994,2785,0.3154313470340074,0.5419485400404741,0.8763793617655831,0.4975448696241111,0.6347337725456312,6706,5877,829,5935
2.0,0.7483540237266928,0.8778605883746418,0.7292979906067623,0.9736988385360288,0.8339611609939445,136907,99846,37061,2697,0.32437982998648207,0.5541485978606534,0.8753764520292557,0.516762614290552,0.6498802235826459,6973,6104,869,5708
2.05,0.739287479121752,0.8729197200001041,0.7179017533274434,0.9746837911900373,0.8268145795072881,139221,99947,39274,2596,0.3323396094822626,0.5646718704827985,0.8750347125798389,0.533525228581104,0.6628799831702956,7202,6302,900,5510
2.1,0.7299387298696022,0.867786215029299,0.7064514306697173,0.9756102318051939,0.8194958120865844,141612,100042,41570,2501,0.3411583130371095,0.5755998843596415,0.8748654467168999,0.5504571622079242,0.6757430887549366,7432,6502,930,5310
2.15,0.7205596954794632,0.8625902333245692,0.6952494688459028,0.9765074164009245,0.8122188920748351,144026,100134,43892,2409,0.35039073737311366,0.5864700780572419,0.8751469243829176,0.5673044361666102,0.6883763932405362,7657,6701,956,5111
2.2,0.7105438494816636,0.8569855496520827,0.6836409018372274,0.9775898891196864,0.8046087720776797,146634,100245,46389,2298,0.35837356076063676,0.5958947672737785,0.8751113940165499,0.5819505587538096,0.6990389993389942,7855,6874,981,4938
2.25,0.7002044682495432,0.8511439750301321,0.6719273107105552,0.9786236018060716,0.7967811474010584,149348,100351,48997,2192,0.36602055719201476,0.604683434518647,0.87545103894488,0.5956654249915341,0.7089525920701296,8037,7036,1001,4776
2.3,0.6896738144099576,0.8451383989816292,0.6604005575719321,0.9794817783759009,0.788898445201095,152088,100439,51649,2104,0.3750401646376094,0.6148597860653368,0.8756212874287792,0.6114967829326109,0.7201036837645182,8249,7223,1026,4589
2.35,0.6793208683620147,0.83917968048357,0.649328837383564,0.9802716909004028,0.7811959634581832,154806,100520,54286,2023,0.3840843343979438,0.6245157559988436,0.8767772511848341,0.6264815441923468,0.7307920205411812,8440,7400,1040,4412
2.4,0.6681210325401316,0.832661274577436,0.6378177898941229,0.9810811074378554,0.7730575203728393,157730,100603,57127,1940,0.39228629312059254,0.6342873662908355,0.8754181566501327,0.6424822214696918,0.7410770958449294,8669,7589,1080,4223
2.45,0.6569351141769587,0.8260777887401306,0.6267452645207876,0.981890523975308,0.7651144411684245,160649,100686,59963,1857,0.40259210601323225,0.6451575599884359,0.8754496402877698,0.6593294954283779,0.7521730732084219,8896,7788,1108,4024
2.5,0.6454896426684135,0.8192652215451017,0.615779953311578,0.9826609324868592,0.7571163982402952,163638,100765,62873,1778,0.41323231229022683,0.6562590344030067,0.8751779262016862,0.6766847273958686,0.7632370494151348,9133,7993,1140,3819
2.55,0.6339383730172956,0.8122938593180143,0.6050591595267237,0.9834313409984105,0.749181868497201,166668,100844,65824,1699,0.4245221844229691,0.6674761491760625,0.8749066068950795,0.6939552996952252,0.773995562060337,9369,8197,1172,3615
2.6,0.6218405684398586,0.8049137951231703,0.5941085399092263,0.9842017495099616,0.7409476682720545,169873,100923,68950,1620,0.4352906459130985,0.678461983232148,0.8739862757330006,0.7116491703352523,0.7845076994867008,9618,8406,1212,3406
2.65,0.6090703831113827,0.797020901070695,0.5829649465021526,0.9850989341056923,0.7324677961431507,173278,101015,72263,1528,0.4456617833957504,0.6888117953165654,0.8730078164653334,0.7280731459532679,0.7939805197802705,9851,8600,1251,3212
2.7,0.5959588145986977,0.788810416954103,0.57191513437058,0.9857913265654409,0.7238706304848312,176750,101086,75664,1457,0.4571807394420364,0.700318010985834,0.8712832164378149,0.74669827294277,0.8041942101664008,10123,8820,1303,2992
2.75,0.5830698927099434,0.7806103456264984,0.5614141201147543,0.9866397511287948,0.7156255968085332,180211,101173,79038,1370,0.4687631271179948,0.7119976871928303,0.8689595542319147,0.7657466982729427,0.8140947752126367,10409,9045,1364,2767
2.8,0.5701718181171684,0.7723217655925008,0.5512180516617219,0.9874491676662474,0.7074951613692102,183695,101256,82439,1287,0.479654364034223,0.7224631396357328,0.8672856874882762,0.7828479512360311,0.822906469698318,10662,9247,1415,2565
2.85,0.557000878502551,0.763757246650336,0.5411019619151367,0.9881708161454219,0.6992881518517368,187266,101330,85936,1213,0.4899440256913485,0.7321769297484823,0.8655963302752293,0.7987639688452421,0.8308383233532934,10900,9435,1465,2377
2.9,0.5436561710161927,0.7549610431532008,0.5311342647158969,0.9887851925533678,0.6910599028087322,190899,101393,89506,1150,0.49948897332270287,0.7411390575310783,0.8635750876246967,0.8134947511005757,0.8377871746806749,11127,9609,1518,2203
2.95,0.5307144005493547,0.7463366506743583,0.5217212440348856,0.9893995689613138,0.6831892851010246,194464,101456,93008,1087,0.50588252743245,0.7477305579647296,0.8609049133969601,0.8247544869624112,0.8424420615703909,11316,9742,1574,2070
3.0,0.5175108752961439,0.7373998745258927,0.5122694588116564,0.9900139453692597,0.6751774087350941,198175,101519,96656,1024,0.5129755275388738,0.7544376987568662,0.8589197181873532,0.8360142228242465,0.8473121970054486,11497,9875,1622,1937
3.05,0.5045622431762935,0.7285099559278706,0.5032326785404642,0.9905600577318784,0.6674047597145748,201845,101575,100270,968,0.5207319731037053,0.7613183000867303,0.8570938999314599,0.8469353200135455,0.8519843297564298,11672,10004,1668,1808
3.1,0.4913188534628969,0.7192946376739912,0.49424158123066747,0.9910184020362189,0.6595511998831757,205612,101622,103990,921,0.5250986409223093,0.7669846776525007,0.852958505176332,0.8579410768709786,0.8554425357700586,11881,10134,1747,1678
