run,head,mode,param,target_subset,n_frames,soft_kappa,confidence_weighted_soft_kappa,soft_nll,confidence_weighted_soft_nll
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=1.0;alpha=1.0,canonical,184616,0.4993910183206907,0.4993910183206907,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=1.0;alpha=1.0,numbered_blank,378896,0.09218362406838194,0.0894840447381531,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=1.0;alpha=1.0,augmented,563512,0.20797667530966807,0.26331848686878623,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=2.0;alpha=1.0,canonical,184616,0.49996579714110867,0.49996579714110867,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=2.0;alpha=1.0,numbered_blank,378896,0.09236367069020686,0.08991357491462111,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=2.0;alpha=1.0,augmented,563512,0.2080675257842558,0.2635546673561523,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=4.0;alpha=1.0,canonical,184616,0.5071897515167896,0.5071897515167896,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=4.0;alpha=1.0,numbered_blank,378896,0.09400022212446786,0.09193774593489791,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=4.0;alpha=1.0,augmented,563512,0.2111448843162635,0.26760312796622476,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=8.0;alpha=1.0,canonical,184616,0.5267547133540684,0.5267547133540684,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=8.0;alpha=1.0,numbered_blank,378896,0.09613938482482878,0.09347181000352539,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=8.0;alpha=1.0,augmented,563512,0.21793783129486247,0.2763463896140816,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=12.0;alpha=1.0,canonical,184616,0.5320446871903821,0.5320446871903821,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=12.0;alpha=1.0,numbered_blank,378896,0.0964091650636805,0.09332864515726261,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=0.75;strength=12.0;alpha=1.0,augmented,563512,0.21937997484898003,0.2781872091937922,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.25;alpha=1.0,canonical,184616,0.49940508365626823,0.49940508365626823,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.25;alpha=1.0,numbered_blank,378896,0.09189910357457097,0.08919467542406459,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.25;alpha=1.0,augmented,563512,0.2078081152886942,0.26319327564425304,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.5;alpha=1.0,canonical,184616,0.49990730773802905,0.49990730773802905,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.5;alpha=1.0,numbered_blank,378896,0.09208138736547068,0.0896538756719209,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=0.5;alpha=1.0,augmented,563512,0.2079012312485648,0.263440480262104,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=1.0;alpha=1.0,canonical,184616,0.5050425975183633,0.5050425975183633,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=1.0;alpha=1.0,numbered_blank,378896,0.09302721081486512,0.09096325406310539,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=1.0;alpha=1.0,augmented,563512,0.20994342859788087,0.26626936419185626,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=2.0;alpha=1.0,canonical,184616,0.5250550988942863,0.5250550988942863,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=2.0;alpha=1.0,numbered_blank,378896,0.09559506801235963,0.09264917546983253,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=2.0;alpha=1.0,augmented,563512,0.21713623405861496,0.27523539504581873,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=4.0;alpha=1.0,canonical,184616,0.5387440082867847,0.5387440082867847,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=4.0;alpha=1.0,numbered_blank,378896,0.09833273339181814,0.09536575306460143,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=4.0;alpha=1.0,augmented,563512,0.2225100644458598,0.28202879388979785,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=8.0;alpha=1.0,canonical,184616,0.5412065536848266,0.5412065536848266,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=8.0;alpha=1.0,numbered_blank,378896,0.09897248331645571,0.09697861208060292,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=8.0;alpha=1.0,augmented,563512,0.22256792560600977,0.2826120151247102,1.8066164502792506,1.6212935825546937
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=12.0;alpha=1.0,canonical,184616,0.5535517265383388,0.5535517265383388,0.9488994397526128,0.9488994397526128
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=12.0;alpha=1.0,numbered_blank,378896,0.10437050458193836,0.10281758140260418,2.224536627888344,2.2320685417209862
cc_social_submitted_head_adapter_bias,social,hmm,mix=1.0;strength=12.0;alpha=1.0,augmented,563512,0.22952224928095996,0.2908061566489893,1.8066164502792506,1.6212935825546937
